37:10:299	,LOG_FN,Start Log
37:10:300	,LOG_FN,07/07/21, 10:37:10
37:10:300	,LOG_FN,Enabled Log Flag Mask: 16927 (0x421F)
37:10:300	,LOG_FN,Log file: C:\JGWStart\JaGuarWaveTestPlatform_V20210701\exec\dutlog.txt
37:10:300	,LOG_FN,QMSL DLL Version: QLIB V6.1.422,QUTS
37:10:300	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_Atheros_Qmsl_Msg_Callback
37:10:300	,LOG_FN,Set_Qmsl_Msg_Callback BEG
37:10:300	,LOG_FN,Set_Qmsl_Msg_Callback END
37:10:300	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_Atheros_Load
37:10:300	,LOG_FN,FTM_WLAN_Atheros_Load( qc6390, C:\Qfigs\boardData\fakeBoardData_AR9900.bin, ...).
37:10:300	,LOG_FN,QMSL Version: 6.1.422.0
37:10:300	,LOG_FN,QMSL timeout: 0 ms.
37:10:300	,LOG_RET,FTM_WLAN_Atheros_Load() _DeviceSelect Done!
37:10:300	,LOG_RET,FTM_WLAN_Atheros_Load()  _tlvCallbackSet Done!
37:10:300	,LOG_RET,FTM_WLAN_Atheros_Load()  SetConfigEntry !
37:10:300	,LOG_RET,FTM_WLAN_Atheros_Load()  DeviceAttach!
37:10:300	,LOG_RET,FTM_WLAN_Atheros_Load()  BT/_EEPROM Done!
37:10:300	,LOG_RET,FTM_WLAN_Atheros_Load() DeviceAttach Done!
37:10:300	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_TLV2_Create
37:10:300	,LOG_FN,FTM_WLAN_TLV2_Create 169
37:10:300	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:10:300	,LOG_FN,FTM_WLAN_TLV2_AddParam phyRFMode <==> 1
37:10:300	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_tlv2_AddParam
37:10:300	,LOG_FN,FTM_WLAN_TLV2_AddParam phyId <==> 0
37:10:300	,LOG_C_HIGH_LEVEL_START,QLIB_FTM_WLAN_TLV2_Complete
37:10:300	,LOG_FN,FTM_WLAN_TLV2_Complete. opCode:169
37:10:300	,LOG_FN,QLIB_GetTimeOut( eTimeOutId = 0 )
37:10:300	,LOG_RET,QLIB_GetTimeOut( eTimeOutId = 0, iNewValue_ms = 4000)
37:10:300	,LOG_IO,SEND (80): 4B 0B 16 00 00 00 50 00 00 00 01 00 00 00 00 00 05 00 00 00 02 00 00 00 00 00 00 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 45 00 00 00 7E 77 C7 0B 02 00 00 00 A6 00 00 00 14 52 E6 44 00 00 00 00 E4 00 00 00 1C 5E 83 44 01 00 00 00 
