2021-05-13 16:23:03 INFO  - LoadSubWndPlugin loadLibrary(path:C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\JGW_UiLibViewResolver.dll)
2021-05-13 16:23:04 INFO  - CCJGW_PocoClassLoader::LoadSubWndPlugin loadLibrary(path:C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\JGW_DevicePool.dll)
2021-05-13 16:23:04 INFO  - LoadSubPluginSubWndImpl : CWelcomPlugin.dll
2021-05-13 16:23:04 INFO  - LoadSubWndPlugin loadLibrary(path:C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CWelcomPlugin.dll)
2021-05-13 16:23:04 INFO  - CreateSubWndImpl : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CWelcomPlugin.dll,clsid: JGW::CCWelcomViewDlg
2021-05-13 16:23:09 INFO  - CCJGWMainDlg::CloseSubPluginView
2021-05-13 16:23:09 INFO  - CCJGWUIEvent::CloseSubPluginView
2021-05-13 16:23:09 INFO  - CloseSubPluginView : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CWelcomPlugin.dll
2021-05-13 16:23:09 INFO  - CCJGWMainDlg::DestroySubPlugin
2021-05-13 16:23:09 INFO  - CCJGWUIEvent::DestroySubPlugin
2021-05-13 16:23:09 INFO  - CJGWLoadSubPlugin::FreeSubPlugin:unloadlibrary C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CWelcomPlugin.dll
2021-05-13 16:23:09 INFO  - DestroyClassPtr clsid : ,ptr : 00000000
2021-05-13 16:23:09 INFO  - CreateSubWndImpl : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\JGW_UiLibViewResolver.dll,clsid: JGW::CCJGWUiLibPluginViewResolver
2021-05-13 16:23:09 INFO  - LoadSubPluginSubWndImpl : CTSECalConfigPlugin.dll
2021-05-13 16:23:09 INFO  - LoadSubWndPlugin loadLibrary(path:C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CTSECalConfigPlugin.dll)
2021-05-13 16:23:09 INFO  - CreateSubWndImpl : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CTSECalConfigPlugin.dll,clsid: JGW::CCTSECalConfigDlg
2021-05-13 16:23:17 INFO  - CCJGWMainDlg::CloseSubPluginView
2021-05-13 16:23:17 INFO  - CCJGWUIEvent::CloseSubPluginView
2021-05-13 16:23:17 INFO  - CloseSubPluginView : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CTSECalConfigPlugin.dll
2021-05-13 16:23:18 INFO  - CCJGWMainDlg::DestroySubPlugin
2021-05-13 16:23:18 INFO  - CCJGWUIEvent::DestroySubPlugin
2021-05-13 16:23:18 INFO  - DestroyClassPtr clsid : JGW::CCJGWUiLibPluginViewResolver,ptr : 05E0DB40
2021-05-13 16:23:18 INFO  - CJGWLoadSubPlugin::FreeSubPlugin:unloadlibrary C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CTSECalConfigPlugin.dll
2021-05-13 16:23:18 INFO  - CreateSubWndImpl : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\JGW_UiLibViewResolver.dll,clsid: JGW::CCJGWUiLibPluginViewResolver
2021-05-13 16:23:18 INFO  - LoadSubPluginSubWndImpl : CTSEThroughTestPlugin.dll
2021-05-13 16:23:18 INFO  - LoadSubWndPlugin loadLibrary(path:C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CTSEThroughTestPlugin.dll)
2021-05-13 16:23:18 INFO  - CreateSubWndImpl : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CTSEThroughTestPlugin.dll,clsid: JGW::CCTSEThroughTestDlg
2021-05-13 16:23:33 INFO  - CCJGWMainDlg::OnCloseWindow
2021-05-13 16:23:33 ERROR - ReadSocket Error:由本地系统中止网络连接。
2021-05-13 16:23:33 ERROR - 由本地系统中止网络连接。
2021-05-13 16:23:33 INFO  - CCJGWMainDlg::CloseSubPluginView
2021-05-13 16:23:33 INFO  - CCJGWUIEvent::CloseSubPluginView
2021-05-13 16:23:33 INFO  - CloseSubPluginView : C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CTSEThroughTestPlugin.dll
2021-05-13 16:23:33 INFO  - CCJGWMainDlg::DestroySubPlugin
2021-05-13 16:23:33 INFO  - CCJGWUIEvent::DestroySubPlugin
2021-05-13 16:23:33 INFO  - DestroyClassPtr clsid : JGW::CCJGWUiLibPluginViewResolver,ptr : 05E0D9F0
2021-05-13 16:23:33 INFO  - CJGWLoadSubPlugin::FreeSubPlugin:unloadlibrary C:\JGWStart\JaGuarWaveTestPlatform_V20210506\exec\plugin\CTSEThroughTestPlugin.dll
