2025-04-15 09:28:57 [22132] INFO  : Stop Throughput Test...
2025-04-15 10:03:36 [23784] INFO  : Start Throughput Test...
2025-04-15 10:03:36 [12764] INFO  : Check SSH (192.168.1.1) Internet connection ..
2025-04-15 10:03:36 [12764] INFO  : ping 192.168.1.1 52 bytes from 192.168.1.1: icmp_seq=1 ttl=64 time=2.036 ms
2025-04-15 10:03:37 [12764] INFO  : ping 192.168.1.1 52 bytes from 192.168.1.1: icmp_seq=2 ttl=64 time=1.296 ms
2025-04-15 10:03:38 [12764] INFO  : Connecting to the SSH(192.168.1.1) Service
2025-04-15 10:03:38 [12764] ERROR : Authentication methods: publickey,password
2025-04-15 10:03:53 [12764] INFO  : Enable the SSH(192.168.1.1) service thread to read the 11AD connection status every 500 millisecond
2025-04-15 10:03:53 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:53 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:53 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:03:54 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:54 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:54 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:03:54 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:55 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:55 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:03:55 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:55 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:56 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:56 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:03:56 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:56 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:57 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:03:57 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:57 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:58 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:58 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:03:58 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:58 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:59 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:03:59 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:59 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:03:59 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:00 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:00 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:00 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:00 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:01 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:01 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:01 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:01 [ 1508] INFO  : 0,-128,-1
